"","ctryname","aclpcode","cowcode","cowcode2","ccdcodelet","ccdcodenum","wdicode","imf_code","politycode","bankscode","dpicode","uncode","un_region","un_region_name","un_continent","un_continent_name","aclp_region","ccode"
"1","Afghanistan",142,700,700,"AFG",1,"AFG",512,700,10,"AFG",4,34,"Southern Asia",142,"Asia",9,700
"64","Albania",143,339,339,"ALB",3,"ALB",914,339,20,"ALB",8,39,"Southern Europe",150,"Europe",9,339
"127","Algeria",1,615,615,"DZA",50,"DZA",612,615,30,"DZA",12,15,"Northern Africa",2,"Africa",6,615
"174","Andorra",195,232,232,"ARR",7,"ADO",NA,232,32,"ADO",20,39,"Southern Europe",150,"Europe",10,232
"190","Angola",2,540,540,"AGO",2,"AGO",614,540,35,"AGO",24,17,"Middle Africa",2,"Africa",1,540
"224","Antigua & Barbuda",144,58,58,"ATG",8,"ATG",311,58,37,"ATG",28,29,"Caribbean",19,"Americas",8,58
"252","Argentina",66,160,160,"ARG",5,"ARG",213,160,40,"ARG",32,5,"South America",19,"Americas",7,160
"315","Armenia",145,371,371,"ARM",6,"ARM",911,371,45,"ARM",51,145,"Western Asia",142,"Asia",9,371
"333","Australia",129,900,900,"AUS",9,"AUS",193,900,50,"AUS",36,53,"Australia and New Zealand",9,"Oceania",10,900
"396","Austria",101,305,305,"AUT",10,"AUT",122,305,61,"AUT",40,155,"Western Europe",150,"Europe",10,305
"459","Azerbaijan",147,373,373,"AZE",11,"AZE",912,373,64,"AZE",31,145,"Western Asia",142,"Asia",9,373
"477","Bahamas",49,31,31,"BHS",19,"BHS",313,31,69,"BHS",44,29,"Caribbean",19,"Americas",8,31
"513","Bahrain",136,692,692,"BHR",18,"BHR",419,692,65,"BHR",48,145,"Western Asia",142,"Asia",11,692
"551","Bangladesh",78,771,771,"BGD",16,"BGD",513,771,901,"BGD",50,34,"Southern Asia",142,"Asia",2,771
"589","Barbados",50,53,53,"BRB",25,"BRB",316,53,70,"BRB",52,29,"Caribbean",19,"Americas",8,53
"632","Belarus",149,370,370,"BLR",21,"BLR",913,370,75,"BLR",112,151,"Eastern Europe",150,"Europe",9,370
"650","Belgium",102,211,211,"BEL",13,"BEL",124,211,80,"BEL",56,155,"Western Europe",150,"Europe",10,211
"713","Belize",51,80,80,"BLZ",22,"BLZ",339,80,90,"BLZ",84,13,"Central America",19,"Americas",8,80
"741","Benin",3,434,434,"BEN",14,"BEN",638,434,310,"BEN",204,11,"Western Africa",2,"Africa",1,434
"790","Bhutan",148,760,760,"BTN",27,"BTN",514,760,66,"BTN",64,34,"Southern Asia",142,"Asia",2,760
"853","Bolivia",67,145,145,"BOL",23,"BOL",218,145,100,"BOL",68,5,"South America",19,"Americas",7,145
